id,sepal width (cm),petal width (cm)
0,2.203005023362599,1.2143962008821858
1,2.2888032857483283,1.2678420299091933
2,2.144100337891958,1.180903807038782
3,2.1172067609768694,1.1662906415494025
4,3.2542263547323564,1.9222261180883486
5,3.281022913798374,1.9752350374425909
6,2.180276074856051,1.2018065755314415
7,2.024208652746407,1.1121026576118005
8,1.9993973900355886,1.0976158830303342
9,3.0821366971883677,1.7901772552326947
10,1.9880329157823144,1.0912806766096883
11,1.9518571788182222,1.0704586956075761
12,3.4215043292562415,2.032741081441015
13,4.221215179102264,2.5216231114358343
14,2.8897703037084903,1.6772817551658181
15,3.391255863086915,2.0047283395197772
16,1.8795057048900368,1.0288147336033522
17,3.5739268102913138,2.087636358723664
18,3.137790676699758,1.824820540261428
19,3.507458907562551,2.136981608148137
20,3.5974743703329635,2.1763590192956492
21,2.012480018780921,1.1042136403960017
22,2.8849252340885143,1.6620057761383293
23,2.0831133382170473,1.145595051455204
24,2.7131182259343687,1.5434293936643708
25,1.9745861273247698,1.083152047319271
26,2.094477812470321,1.1522453206384775
27,2.096560126674592,1.1547327450672737
28,2.1575623361499288,1.1957164069711896
29,3.6646753839883623,2.1656920480359974
30,2.849830639902856,1.6218888703058423
31,2.1079246009278654,1.1600818260366703
32,1.7957897567085788,0.9808355651784824
33,3.790518551871069,2.300464036821176
34,3.502558515074167,2.0783668556047603
35,2.0717488639637733,1.1392598450345581
36,1.8319654936726706,1.0016575461805943
37,2.9151747586541976,1.686846702943328
38,2.046937601252955,1.124773070453092
39,3.320466930939685,1.9069329735162337
40,2.0717488639637733,1.1392598450345581
41,2.0128441784931335,1.107663294544998
42,4.003444330676679,2.40040172807557
43,2.046937601252955,1.124773070453092
44,4.0796576955138,2.421923241369424
45,1.835603949325487,1.0104814991912663
46,3.485295978156766,2.1011597480407613
47,2.4650978529431002,1.3955597592952924
48,2.3115322342548756,1.2768242291416634
49,3.0724465579484166,1.7595123686358758
50,2.046937601252955,1.124773070453092
51,2.9248648978941487,1.7191469588996937
52,2.743367750500051,1.568353100168314
53,2.929709967514124,1.7389353035539206
54,2.193784933180826,1.217729685077737
55,3.2636338445824657,1.9517173700304682
56,2.205087337566869,1.2207725793869173
57,2.859520779142807,1.6524408283608196
58,2.001799389398577,1.104620400235818
59,3.128100537459807,1.7939182432183842
60,3.7046150477939954,2.2361961020539676
61,2.8038667996314173,1.6180349537783112
62,3.674365523228313,2.207958871933344
63,3.5676099847238887,2.1518851873840426
64,1.9384103903606775,1.0624533253118138
65,2.0717488639637733,1.1392598450345581
66,3.553367424965581,2.0950211565114834
67,2.0603843897104994,1.1329246386139122
68,2.1079246009278654,1.1600818260366703
69,2.9151747586541976,1.686846702943328
70,2.8800801644685388,1.6467297971108408
71,1.7957897567085788,0.9808355651784824
72,3.569028829819891,2.163233215579812
73,2.3997537341917594,1.3303192642511976
74,3.3131220979618505,1.9883608411584284
