id,sepal width (cm),petal width (cm)
0,4.103580550663516,-1.934637171791923
1,5.149807472945217,-2.2050939032416776
2,4.1035238897774775,-2.112664099891215
3,3.057353628381812,-1.6641804403421687
4,2.3931176934416687,2.4652998774002386
5,1.4777045494989525,2.8132163474808305
6,4.365094785569414,-2.1357715507288306
7,3.449568319854623,-2.143908936846822
8,3.0572403066097404,-2.020234296540753
9,2.3985978412665334,1.4530988686469835
10,3.187997424062689,-2.1208014860092064
11,2.9264265282707527,-2.0976940351715907
12,2.7855590284586262,2.697679093292753
13,5.270850834241244,3.635333342980804
14,1.7445856104576403,1.2438271035920845
15,2.9163161459115745,2.5971119038243
16,2.403284736686883,-2.0514791334963594
17,4.354984403210235,2.55903438826706
18,2.5294116196055185,1.5305586072778214
19,1.608631649610011,3.246729942310253
20,2.393344336985817,3.177407589797406
21,2.272640941006008,-1.5948580878293221
22,2.136913623702526,1.1201524632860147
23,3.4496249807406585,-1.9658820087475302
24,2.1368003019304513,0.7640986070874312
25,2.664912293364855,-1.8965596562346831
26,3.3188678632877098,-1.8653148192790765
27,3.9727101114384924,-2.1901238385220534
28,4.626609020475311,-2.336905929665738
29,3.962713050851387,2.860735956672422
30,2.6599987544003576,0.8959106335114918
31,3.8419529939855437,-2.0895566490535993
32,2.0109000625559643,-2.105831421289583
33,3.0473565677947065,3.3866793548523066
34,3.177943702589546,2.7520313810859767
35,3.580382098193608,-2.0664491982159836
36,2.2724709583478986,-2.128938872127198
37,2.0061565062495763,1.2207196527544688
38,3.1880540849487247,-1.9427745579099145
39,3.968079876904179,1.4924810917205824
40,3.580382098193608,-2.0664491982159836
41,3.5803254373075717,-2.244476126315276
42,4.35526770764042,3.44916902876352
43,3.1880540849487247,-1.9427745579099145
44,5.139980395016224,3.379846676250673
45,2.926313206498679,-2.453747891370175
46,2.131716780307844,3.022488112535731
47,1.3519742927825744,0.4773671034016934
48,4.888293238039319,-2.0039595243047694
49,3.1832538677563016,1.2057495880348446
50,3.1880540849487247,-1.9427745579099145
51,1.2215004797598084,1.4680689333666077
52,2.0060431844775026,0.8646657965558846
53,0.829172466514926,1.5917435736726768
54,4.888179916267245,-2.3600133805033536
55,1.61405513654884,2.0565020054577055
56,4.7574227988142965,-2.2594461910348995
57,1.8753427279105899,1.1432599141236304
58,3.7110825547605204,-2.3450433157837294
59,3.3140676460952854,1.2832093266656834
60,3.0472999069086706,3.208652426753014
61,1.7445289495716048,1.0658001754927922
62,3.178057024361621,3.10808523728456
63,2.5241014544387657,3.076840400328953
64,2.403341397572921,-1.873452205397068
65,3.580382098193608,-2.0664491982159836
66,3.701085494173416,2.7058164794107453
67,3.711139215646557,-2.1670163876844377
68,3.8419529939855437,-2.0895566490535993
69,2.0061565062495763,1.2207196527544688
70,2.5292416369474084,0.9964778229799457
71,2.0109000625559643,-2.105831421289583
72,2.1317734411938813,3.200515040635022
73,2.0058165409333553,0.15255808415871674
74,1.7392754452908885,2.790108896643215
